dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
Prostate_GE,96.05±6.51 (20),95.1±3.54 (87),96.14±4.0 (47),95.05±6.12 (5),97.0±4.47 (22),95.05±6.12 (4),95.1±6.13 (51),96.05±6.51 (33),94.14±6.46 (4),96.05±6.51 (19),97.05±4.45 (43),94.19±6.28 (68),95.05±6.12 (72),95.14±4.88 (74),96.1±5.35 (28),97.05±4.45 (76),95.1±6.99 (8),94.14±8.02 (60),96.05±6.51 (47),95.1±6.13 (46),95.05±6.12 (2),95.1±6.13 (4),95.05±6.12 (2),95.05±6.12 (3),96.05±6.51 (5),95.1±6.13 (49),94.19±6.28 (34),95.05±8.66 (26),95.05±6.12 (4),96.05±6.51 (59),95.1±6.99 (60),96.05±6.51 (71),96.05±6.51 (68),96.0±6.52 (9),96.05±6.51 (47),97.0±4.47 (61),96.0±6.52 (9)
RELATHE,80.59±3.16 (67),80.59±4.82 (99),77.57±4.15 (87),64.4±3.91 (2),75.75±5.07 (28),74.28±3.42 (15),77.43±3.35 (38),74.91±4.52 (29),76.17±2.29 (49),76.94±3.41 (45),76.94±4.1 (42),76.1±3.14 (43),77.57±4.95 (59),75.33±3.67 (45),77.64±4.6 (57),75.89±5.17 (53),75.75±3.86 (62),77.22±4.38 (58),74.07±3.69 (68),75.05±2.31 (57),64.47±3.78 (3),72.46±4.98 (29),70.29±3.69 (17),76.59±5.65 (43),74.98±5.9 (33),77.08±6.08 (47),76.59±6.34 (43),77.78±6.01 (49),78.27±5.99 (56),80.1±5.88 (65),78.69±6.86 (65),79.75±6.7 (63),79.47±6.38 (69),80.31±6.88 (71),80.73±6.4 (69),80.52±6.12 (66),80.03±6.13 (69)
SMK_CAN_187,66.83±15.71 (29),67.91±11.81 (18),66.36±14.05 (94),70.1±14.0 (16),72.23±17.97 (15),68.48±11.59 (24),72.16±13.63 (12),71.66±10.49 (32),71.15±12.8 (5),69.53±10.11 (53),66.86±6.56 (19),71.14±10.11 (67),70.65±13.81 (37),68.45±7.52 (41),66.3±10.76 (7),69.6±9.74 (79),67.94±8.66 (75),66.34±12.26 (10),68.45±13.63 (64),68.44±6.89 (30),71.65±11.16 (16),73.77±7.34 (3),73.76±7.62 (4),72.76±11.08 (2),73.77±7.34 (3),72.76±11.08 (2),73.78±5.88 (4),72.76±11.08 (2),72.76±11.08 (2),72.73±11.34 (3),72.76±11.08 (2),73.29±9.68 (16),72.73±11.34 (3),72.2±10.98 (4),72.73±11.34 (3),72.2±10.98 (4),72.2±10.98 (4)
TOX_171,66.64±5.52 (8),67.21±4.16 (93),73.63±6.07 (100),66.64±9.98 (9),67.87±14.15 (19),65.53±6.44 (13),70.79±11.46 (70),68.37±9.31 (26),74.29±9.09 (68),69.56±13.64 (36),68.5±10.83 (74),72.55±7.71 (78),71.9±4.64 (73),67.88±7.16 (46),72.54±7.82 (79),68.97±5.52 (88),67.19±6.63 (78),66.71±9.67 (23),64.96±8.26 (69),67.85±4.0 (80),63.75±4.38 (12),63.14±8.79 (45),62.55±5.39 (17),62.55±5.78 (67),68.37±8.33 (38),67.87±6.68 (77),65.53±5.34 (68),64.87±4.92 (59),63.66±12.06 (55),62.61±5.31 (67),63.19±7.1 (78),64.27±11.05 (83),64.32±4.42 (60),63.09±7.93 (43),61.97±8.67 (53),62.03±8.24 (95),64.34±8.61 (46)
USPS,88.48±1.21 (100),92.82±1.62 (96),93.51±1.7 (100),77.37±1.24 (35),93.36±1.18 (84),92.17±1.74 (71),93.82±1.69 (88),93.6±1.45 (85),93.54±1.72 (67),93.98±1.66 (81),93.71±1.81 (84),93.8±1.73 (75),93.73±1.59 (70),93.62±1.83 (72),93.63±1.52 (68),93.61±1.72 (71),93.41±2.0 (66),93.51±1.7 (68),93.14±1.79 (61),93.16±1.71 (64),81.14±1.14 (37),93.04±1.59 (84),91.42±1.53 (67),93.46±1.57 (84),93.25±1.43 (81),93.36±1.61 (78),93.55±1.55 (86),93.36±1.51 (81),93.49±1.42 (81),93.16±1.52 (70),93.36±1.52 (75),92.9±1.65 (65),93.16±1.53 (71),92.71±1.75 (54),92.85±1.54 (63),92.45±1.42 (60),93.1±1.69 (64)
Yale,78.18±6.21 (49),80.61±10.19 (23),77.58±8.73 (61),75.15±6.57 (26),81.21±6.57 (55),80.0±11.66 (57),81.21±12.93 (80),78.79±4.29 (57),81.21±6.91 (84),78.79±10.28 (74),80.61±5.91 (84),76.97±7.9 (59),75.76±10.71 (80),76.97±5.5 (69),79.39±6.57 (73),75.76±5.67 (73),75.15±8.13 (65),73.94±5.91 (71),76.36±3.95 (73),73.33±5.42 (77),72.12±4.49 (19),70.91±7.61 (69),70.3±6.91 (36),69.7±8.83 (65),70.3±8.94 (69),69.7±8.83 (82),70.3±9.44 (68),69.09±7.84 (72),68.48±7.9 (65),65.45±12.96 (83),64.85±9.73 (63),65.45±5.91 (82),65.45±9.24 (87),61.82±5.07 (76),64.85±8.73 (78),60.0±11.22 (69),61.82±11.46 (83)
arcene,84.5±2.09 (82),79.5±6.71 (32),67.0±4.81 (95),83.0±4.47 (33),89.5±4.81 (82),86.0±2.24 (62),88.5±4.87 (72),87.5±0.0 (69),88.5±6.75 (84),88.0±5.12 (84),86.5±5.76 (43),87.0±3.71 (61),86.5±4.54 (87),87.5±5.86 (94),83.5±2.85 (50),85.5±5.97 (98),85.5±3.26 (45),84.0±2.85 (69),83.5±2.85 (76),84.5±4.81 (63),83.5±10.55 (31),86.0±3.35 (82),85.5±2.09 (68),87.5±4.68 (83),84.5±4.47 (73),88.0±4.81 (68),86.0±5.76 (57),86.5±4.54 (67),85.5±7.79 (95),86.0±2.85 (71),87.0±4.11 (85),86.0±4.54 (82),87.5±4.68 (86),84.0±5.18 (80),85.5±3.26 (91),84.5±5.42 (75),84.0±4.54 (69)
colon,91.92±8.03 (9),88.59±9.62 (6),85.51±8.75 (15),91.79±10.21 (7),90.13±7.02 (12),91.79±8.34 (25),95.0±7.45 (15),90.26±14.77 (19),88.59±7.6 (20),91.79±10.21 (17),87.18±13.04 (44),91.92±11.57 (42),87.18±6.83 (34),90.38±10.71 (34),88.59±13.84 (43),88.72±9.41 (86),85.51±13.44 (60),87.05±7.44 (30),87.05±10.7 (43),90.26±14.77 (47),90.0±10.87 (7),88.59±7.26 (2),88.59±4.81 (30),87.05±4.54 (32),88.59±7.26 (2),88.85±8.9 (33),85.38±7.07 (5),88.59±4.81 (33),86.79±9.59 (14),83.97±5.25 (3),85.26±7.28 (14),85.38±8.63 (17),86.79±12.7 (18),87.05±4.54 (18),85.38±8.63 (17),83.97±5.25 (2),85.38±7.07 (22)
gisette,93.79±0.48 (100),94.86±0.56 (97),-,87.6±0.65 (6),92.33±0.99 (44),91.1±0.94 (31),93.34±0.64 (46),93.1±0.7 (46),93.89±0.55 (60),92.77±0.38 (61),94.01±0.77 (66),94.46±0.66 (71),93.91±0.84 (67),93.99±0.36 (70),94.49±0.45 (81),94.23±0.65 (79),94.21±0.64 (79),94.43±0.76 (66),94.71±0.39 (83),94.14±0.49 (75),86.66±0.68 (8),92.97±0.75 (43),91.2±0.8 (25),93.7±0.9 (55),93.56±0.56 (48),93.84±0.49 (63),93.79±0.65 (61),94.2±0.41 (66),94.54±0.7 (70),94.4±0.32 (78),94.31±0.42 (72),94.51±0.47 (76),94.5±0.69 (81),94.56±0.48 (83),94.61±0.7 (78),94.73±0.6 (82),94.63±0.4 (79)
leukemia,98.67±2.98 (13),98.67±2.98 (48),97.24±3.79 (38),98.67±2.98 (6),100.0±0.0 (18),98.67±2.98 (15),100.0±0.0 (30),98.67±2.98 (20),100.0±0.0 (4),100.0±0.0 (46),100.0±0.0 (17),100.0±0.0 (46),100.0±0.0 (79),100.0±0.0 (41),98.67±2.98 (43),100.0±0.0 (6),98.67±2.98 (24),98.67±2.98 (27),100.0±0.0 (47),98.67±2.98 (26),98.67±2.98 (6),98.67±2.98 (18),98.67±2.98 (16),98.67±2.98 (17),98.67±2.98 (19),98.67±2.98 (21),98.67±2.98 (19),98.67±2.98 (22),98.67±2.98 (21),98.67±2.98 (31),98.67±2.98 (27),98.67±2.98 (30),98.67±2.98 (31),98.67±2.98 (49),98.67±2.98 (30),98.67±2.98 (53),98.67±2.98 (34)
lung,95.06±3.07 (65),96.04±3.37 (88),96.05±2.8 (88),94.59±4.08 (24),96.07±3.71 (36),95.57±3.18 (22),95.56±2.09 (38),95.07±3.93 (54),95.56±2.68 (21),95.07±3.47 (67),94.57±4.06 (77),95.11±4.55 (67),94.55±3.72 (76),93.6±3.74 (87),95.07±2.47 (81),95.1±3.45 (44),95.07±3.45 (50),94.07±4.19 (86),93.6±1.34 (81),95.55±4.08 (48),95.07±1.73 (22),94.59±2.69 (61),96.56±2.2 (30),94.61±3.61 (16),95.09±2.98 (40),95.1±4.56 (85),96.05±2.24 (67),95.09±2.98 (80),95.1±4.56 (57),95.1±2.41 (73),95.57±3.22 (60),94.12±3.24 (46),94.1±3.76 (42),94.56±4.79 (67),94.6±3.64 (86),93.6±3.32 (93),94.57±2.08 (95)
lung_discrete,87.62±5.71 (28),90.38±7.7 (32),83.52±3.92 (97),75.33±6.01 (12),83.71±7.38 (26),86.38±6.56 (25),86.38±6.56 (66),86.29±4.74 (54),86.19±8.48 (67),87.62±9.97 (62),83.52±3.92 (60),86.29±4.74 (68),83.52±7.73 (66),82.1±9.37 (71),84.95±7.23 (63),83.52±7.73 (65),82.29±8.74 (68),84.76±10.45 (37),82.1±6.32 (65),86.19±8.48 (69),73.52±16.02 (11),79.52±15.76 (35),80.57±12.72 (37),75.33±13.27 (70),80.86±9.0 (30),78.0±10.14 (54),80.95±15.04 (41),79.62±9.1 (62),80.76±7.47 (46),78.0±6.01 (40),77.9±9.32 (48),80.95±8.41 (72),76.76±11.01 (65),75.43±8.65 (59),78.0±6.01 (70),78.0±8.97 (65),76.86±7.2 (69)
lymphoma,93.79±4.28 (100),92.74±5.94 (68),88.58±6.75 (91),87.68±11.5 (15),91.68±5.96 (57),93.74±8.66 (63),90.68±5.56 (36),90.79±10.93 (64),92.79±7.78 (85),91.79±7.57 (66),89.47±10.53 (71),89.63±10.43 (45),88.53±14.62 (59),90.63±13.1 (68),88.58±4.23 (61),89.63±5.07 (54),89.53±7.49 (83),87.74±13.44 (84),88.58±12.5 (63),90.63±6.85 (92),88.63±9.16 (17),91.79±8.43 (75),93.84±5.44 (56),89.74±10.04 (77),91.79±9.22 (68),89.68±9.57 (86),88.58±10.05 (44),86.53±6.8 (80),86.58±10.54 (93),87.53±6.98 (73),83.47±10.91 (69),84.37±9.85 (65),86.53±9.37 (93),86.63±11.54 (87),84.42±10.4 (66),85.47±6.63 (89),85.53±10.44 (48)
madelon,62.15±1.52 (3),61.88±1.66 (5),61.92±1.19 (4),62.19±1.62 (3),62.35±1.51 (5),62.19±1.62 (3),62.04±1.44 (4),62.12±1.6 (5),62.15±1.69 (3),62.15±1.49 (7),62.0±1.22 (6),62.19±1.4 (5),61.96±1.41 (7),61.81±1.27 (2),62.35±1.4 (3),62.19±1.89 (2),62.19±1.15 (5),62.0±1.13 (7),62.04±1.29 (6),61.77±1.74 (13),62.04±1.48 (6),61.96±1.29 (3),62.04±1.43 (4),61.62±1.29 (2),61.62±1.29 (2),61.62±1.29 (2),61.62±1.29 (2),61.31±2.81 (10),61.46±2.08 (9),61.58±1.85 (5),61.58±1.85 (5),61.54±2.15 (4),61.54±2.15 (4),61.54±2.15 (4),61.54±2.15 (4),61.35±2.35 (17),61.54±2.15 (4)
nci9,38.33±11.18 (81),40.0±14.91 (81),35.0±13.69 (66),48.33±13.69 (41),51.67±12.36 (51),51.67±12.36 (81),60.0±10.87 (55),56.67±12.36 (73),56.67±12.36 (60),60.0±10.87 (77),56.67±10.87 (94),65.0±10.87 (69),56.67±6.97 (100),50.0±8.33 (73),55.0±13.94 (73),53.33±12.64 (46),51.67±16.03 (60),53.33±4.56 (88),58.33±13.18 (97),50.0±13.18 (91),45.0±12.64 (51),58.33±8.33 (79),58.33±13.18 (74),61.67±9.5 (96),60.0±9.13 (82),61.67±7.45 (97),63.33±11.18 (97),58.33±15.59 (60),66.67±11.79 (100),58.33±15.59 (99),61.67±15.14 (96),55.0±12.64 (100),61.67±7.45 (92),60.0±14.91 (111),56.67±10.87 (93),55.0±13.94 (77),51.67±13.69 (58)
orlraws10P,76.0±10.84 (91),96.0±4.18 (81),96.0±2.24 (73),91.0±4.18 (56),98.0±2.74 (93),99.0±2.24 (62),98.0±2.74 (76),98.0±2.74 (90),98.0±2.74 (87),99.0±2.24 (94),98.0±2.74 (79),100.0±0.0 (99),98.0±2.74 (98),98.0±2.74 (97),96.0±4.18 (55),96.0±4.18 (83),95.0±3.54 (91),95.0±3.54 (70),97.0±4.47 (80),94.0±6.52 (82),86.0±7.42 (31),95.0±0.0 (77),94.0±6.52 (15),94.0±4.18 (92),94.0±4.18 (42),94.0±4.18 (15),92.0±6.71 (66),92.0±6.71 (85),91.0±7.42 (91),88.0±2.74 (27),91.0±2.24 (97),91.0±7.42 (92),89.0±6.52 (88),88.0±4.47 (33),90.0±3.54 (59),91.0±4.18 (82),91.0±4.18 (84)
pixraw10P,90.0±5.0 (67),99.0±2.24 (56),97.0±2.74 (93),97.0±4.47 (37),99.0±2.24 (56),98.0±2.74 (35),99.0±2.24 (63),99.0±2.24 (49),100.0±0.0 (79),99.0±2.24 (80),99.0±2.24 (84),97.0±6.71 (77),98.0±2.74 (81),97.0±4.47 (29),98.0±4.47 (94),97.0±4.47 (55),99.0±2.24 (90),97.0±4.47 (84),96.0±4.18 (38),97.0±2.74 (81),96.0±5.48 (62),92.0±5.7 (41),94.0±2.24 (88),94.0±4.18 (43),92.0±5.7 (18),91.0±6.52 (63),92.0±4.47 (74),90.0±7.91 (13),92.0±7.58 (53),88.0±7.58 (62),89.0±4.18 (80),88.0±4.47 (26),90.0±3.54 (61),87.0±4.47 (59),87.0±2.74 (90),87.0±5.7 (69),86.0±7.42 (30)
warpAR10P,90.77±5.83 (65),92.31±8.16 (75),90.77±8.85 (36),90.0±6.44 (35),94.62±7.98 (83),92.31±7.2 (78),92.31±7.2 (96),92.31±8.16 (70),94.62±6.44 (79),93.08±9.18 (31),92.31±13.04 (91),90.77±12.04 (61),93.85±13.76 (82),93.08±11.67 (64),91.54±12.87 (78),93.08±7.88 (95),90.0±14.54 (98),93.08±7.4 (96),90.77±12.34 (60),90.77±16.45 (92),86.92±7.98 (44),83.85±8.77 (64),87.69±10.67 (80),81.54±9.96 (59),85.38±14.24 (82),82.31±19.91 (95),80.77±14.65 (92),82.31±12.64 (70),80.77±18.24 (99),80.0±20.24 (100),78.46±24.11 (96),76.15±24.54 (97),77.69±12.87 (93),76.92±14.13 (94),74.62±19.15 (85),72.31±18.12 (83),74.62±20.64 (100)
warpPIE10P,97.14±6.39 (40),99.05±2.13 (64),100.0±0.0 (38),94.29±7.82 (24),98.57±3.19 (42),98.1±4.26 (50),99.05±2.13 (64),99.05±2.13 (64),99.05±2.13 (64),99.05±2.13 (58),99.05±2.13 (55),99.05±2.13 (68),99.52±1.06 (82),99.05±2.13 (68),99.05±2.13 (84),99.52±1.06 (70),99.05±2.13 (83),99.05±2.13 (63),99.52±1.06 (88),99.52±1.06 (70),95.24±8.25 (24),98.57±3.19 (56),98.1±4.26 (36),99.05±2.13 (65),98.57±3.19 (42),98.57±3.19 (67),98.1±3.1 (56),98.57±3.19 (58),99.05±2.13 (74),99.05±2.13 (66),99.52±1.06 (82),99.52±1.06 (76),99.52±1.06 (83),99.05±2.13 (68),99.52±1.06 (76),99.52±1.06 (83),99.05±2.13 (67)
