dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
Prostate_GE,95.05±8.66 (57),95.05±8.66 (57),94.1±5.5 (62),93.1±8.33 (3),95.05±6.12 (2),94.14±8.02 (4),95.1±6.99 (6),95.05±6.12 (25),94.14±8.02 (4),95.0±8.66 (25),96.0±8.94 (36),95.1±6.13 (44),95.05±6.12 (5),96.0±6.52 (31),95.1±6.99 (39),95.05±8.66 (38),96.1±4.16 (31),95.05±8.66 (64),96.05±6.51 (7),94.14±6.46 (60),93.1±4.53 (4),95.1±6.13 (17),94.1±6.45 (4),95.1±6.13 (23),96.05±6.51 (24),95.05±8.66 (24),96.05±6.51 (25),95.05±8.66 (19),94.05±8.22 (5),94.14±8.02 (33),94.05±8.22 (5),94.14±6.46 (63),94.1±5.5 (5),94.14±8.02 (6),96.05±4.17 (6),96.05±6.51 (71),94.14±8.02 (6)
RELATHE,82.26±5.83 (99),82.26±5.83 (99),88.15±4.01 (99),53.33±3.2 (2),78.34±4.18 (22),70.14±3.93 (12),78.77±3.42 (35),77.36±3.6 (19),80.72±4.99 (40),80.51±3.98 (34),80.3±4.09 (42),80.45±2.88 (48),81.57±3.25 (54),79.96±2.06 (38),80.79±4.45 (59),80.03±3.67 (60),80.03±3.16 (46),81.01±3.14 (60),79.46±3.96 (64),81.29±4.28 (47),67.13±4.61 (2),77.64±4.22 (26),73.02±4.13 (11),79.88±3.58 (32),79.18±3.58 (26),80.52±3.48 (40),80.24±3.73 (33),80.66±3.07 (44),81.22±3.53 (43),81.36±2.64 (52),81.71±3.22 (55),82.06±3.06 (60),81.64±2.69 (60),81.43±2.21 (66),82.41±3.49 (56),80.94±3.67 (68),81.92±3.09 (60)
SMK_CAN_187,73.77±3.18 (13),73.77±3.18 (13),77.04±7.51 (92),74.31±11.08 (10),71.1±11.71 (18),71.69±13.54 (19),70.55±9.95 (54),71.08±13.31 (36),71.12±8.44 (51),74.82±10.0 (26),68.52±6.97 (57),72.69±5.39 (53),70.54±6.56 (57),70.57±10.81 (38),72.15±10.98 (27),71.66±6.03 (9),70.01±6.0 (16),69.0±15.58 (4),70.58±8.88 (73),70.61±9.74 (94),75.95±10.42 (10),75.42±12.2 (7),74.82±10.45 (12),73.26±7.54 (78),73.76±7.07 (61),72.16±18.55 (5),73.74±12.58 (16),72.16±18.55 (5),72.69±10.03 (74),72.23±6.22 (48),74.35±12.38 (25),72.2±12.09 (14),72.73±9.01 (35),72.19±8.66 (19),72.22±12.45 (14),71.12±12.24 (16),73.8±13.3 (35)
TOX_171,67.87±8.9 (12),67.28±5.42 (11),76.05±2.88 (81),67.85±4.51 (5),74.32±7.31 (32),71.39±5.98 (19),70.18±6.64 (29),70.77±7.12 (33),72.5±6.81 (20),70.2±9.02 (12),71.38±3.41 (38),72.55±8.51 (44),71.98±7.89 (11),73.08±5.77 (65),69.04±9.7 (16),73.65±9.4 (70),72.49±2.9 (77),71.34±3.82 (29),71.43±9.12 (43),68.42±6.02 (59),63.75±7.9 (5),67.83±10.81 (14),66.08±8.7 (22),66.71±13.09 (38),66.15±8.23 (36),67.28±6.83 (36),69.06±9.82 (43),66.12±10.54 (12),65.48±6.47 (50),63.82±9.63 (71),66.07±6.52 (65),65.53±9.88 (74),63.18±4.7 (55),67.8±6.42 (61),66.08±7.36 (74),63.78±6.08 (71),66.07±7.15 (66)
USPS,93.18±1.53 (100),93.18±1.53 (100),93.15±1.64 (94),56.76±0.71 (8),90.76±1.9 (35),87.8±2.11 (27),92.26±1.63 (46),90.76±1.98 (42),92.64±1.36 (56),92.75±1.53 (54),93.19±1.43 (65),93.17±1.38 (65),93.45±1.75 (73),93.45±1.74 (74),93.4±1.69 (75),93.55±1.43 (76),93.15±1.83 (60),93.49±1.72 (74),93.29±1.47 (74),93.56±1.87 (77),47.27±0.52 (7),86.9±1.84 (41),83.56±1.35 (27),87.37±1.46 (54),86.82±1.36 (45),88.16±1.74 (59),87.7±1.39 (55),88.81±1.34 (65),88.78±1.69 (68),91.12±1.37 (72),88.74±1.46 (74),91.58±1.29 (73),90.71±1.42 (73),91.07±1.57 (75),90.68±1.62 (67),91.01±1.43 (76),91.6±1.56 (77)
Yale,73.33±9.91 (32),72.12±9.44 (35),76.97±6.64 (45),73.33±6.57 (21),76.97±10.63 (62),81.21±6.91 (45),78.79±4.79 (71),76.97±4.07 (49),78.79±8.3 (81),76.97±7.3 (57),80.61±9.24 (73),79.39±7.84 (71),79.39±7.23 (85),78.18±6.57 (89),77.58±6.98 (84),80.61±8.73 (74),80.61±4.6 (67),78.18±8.13 (80),76.36±5.42 (86),78.18±5.42 (73),70.91±4.6 (19),78.79±6.78 (45),75.76±7.42 (53),81.21±8.94 (52),78.18±12.01 (35),80.0±9.96 (64),78.18±7.84 (53),78.79±8.83 (47),78.18±8.41 (79),77.58±9.73 (64),77.58±10.63 (54),76.36±9.44 (93),76.97±8.19 (74),75.76±7.11 (70),74.55±8.19 (88),74.55±6.98 (76),74.55±10.63 (88)
arcene,79.5±4.11 (87),79.0±4.18 (84),79.0±4.18 (84),79.0±3.79 (33),85.0±5.0 (62),80.5±4.81 (45),84.5±4.11 (83),84.0±5.18 (85),84.5±6.71 (45),85.5±5.97 (97),87.0±5.12 (54),86.5±7.2 (87),84.5±5.7 (87),85.5±2.09 (82),88.5±6.52 (78),85.5±3.26 (69),87.0±2.09 (91),85.0±3.54 (40),85.5±6.94 (77),86.0±8.4 (94),79.5±4.47 (46),85.0±4.68 (91),82.0±2.09 (67),84.5±2.09 (78),86.5±3.79 (76),88.5±2.85 (96),86.5±7.62 (92),85.5±1.12 (77),86.5±4.54 (82),85.5±3.26 (79),86.5±2.85 (81),86.0±1.37 (62),87.0±3.71 (77),87.0±3.26 (94),86.5±3.79 (96),87.0±2.09 (84),86.0±1.37 (61)
colon,88.59±7.26 (2),88.59±7.26 (2),90.13±7.02 (4),88.59±7.26 (2),91.67±14.43 (35),90.0±10.87 (10),91.79±5.9 (3),88.59±9.35 (13),88.59±7.6 (30),90.38±13.18 (41),90.26±8.91 (38),91.67±10.21 (21),88.33±13.94 (26),88.72±4.36 (12),87.18±14.31 (49),90.26±13.74 (61),88.72±9.41 (72),90.26±9.19 (19),88.72±9.41 (61),90.26±6.68 (3),88.59±7.26 (4),91.67±8.33 (6),88.46±9.56 (7),91.92±0.35 (9),88.59±9.35 (26),91.79±10.21 (25),93.46±6.94 (6),91.92±8.03 (7),91.92±8.03 (7),91.92±5.9 (9),90.13±10.89 (21),90.38±13.18 (52),88.59±13.84 (30),87.05±12.22 (77),87.18±10.77 (55),88.46±7.53 (13),88.59±9.62 (40)
gisette,93.34±0.46 (100),79.59±1.57 (100),79.59±1.57 (100),82.4±0.67 (3),90.6±0.49 (23),89.31±0.69 (19),92.59±0.67 (42),91.76±0.79 (28),92.74±0.59 (45),91.93±0.75 (38),92.8±1.04 (49),93.01±0.61 (54),93.33±0.92 (57),94.04±0.6 (62),93.91±0.57 (65),93.71±0.54 (60),94.34±0.65 (67),94.33±0.79 (67),93.61±0.37 (76),94.1±0.75 (65),82.4±0.67 (3),92.0±0.69 (31),89.63±0.84 (20),92.89±0.52 (42),91.91±0.51 (28),93.26±0.69 (39),93.36±0.71 (40),93.57±0.47 (49),94.39±0.49 (54),94.99±0.37 (61),94.56±0.4 (56),94.74±0.49 (65),94.76±0.34 (64),94.99±0.18 (70),95.17±0.33 (67),95.1±0.43 (76),95.16±0.67 (72)
leukemia,97.33±5.96 (5),97.33±5.96 (5),97.33±5.96 (6),91.71±5.79 (2),98.67±2.98 (6),98.67±2.98 (5),98.67±2.98 (8),98.67±2.98 (10),98.67±2.98 (10),98.67±2.98 (11),100.0±0.0 (8),100.0±0.0 (20),98.67±2.98 (18),98.67±2.98 (17),98.67±2.98 (15),98.67±2.98 (11),100.0±0.0 (37),100.0±0.0 (19),100.0±0.0 (49),98.67±2.98 (27),91.81±5.53 (2),98.67±2.98 (14),94.48±7.57 (4),98.67±2.98 (9),98.67±2.98 (11),97.24±3.79 (10),98.67±2.98 (25),98.67±2.98 (28),98.67±2.98 (13),98.67±2.98 (24),98.67±2.98 (36),98.67±2.98 (37),98.67±2.98 (27),98.67±2.98 (26),98.67±2.98 (36),98.67±2.98 (22),98.67±2.98 (33)
lung,91.61±3.33 (99),91.61±3.33 (99),96.56±4.09 (20),78.33±0.96 (2),91.62±2.21 (25),87.17±4.1 (17),93.6±4.47 (24),92.11±4.07 (27),93.07±4.1 (19),93.6±5.64 (40),95.56±2.09 (40),94.55±4.13 (32),95.09±2.42 (52),94.56±4.05 (59),94.07±3.76 (26),95.07±3.88 (62),94.09±2.8 (61),95.04±4.69 (31),93.59±2.26 (54),96.06±2.19 (51),83.74±2.18 (5),96.06±3.74 (25),91.6±4.55 (14),95.07±4.89 (18),95.56±2.71 (24),95.09±4.22 (18),95.57±3.22 (24),95.07±3.93 (35),94.56±2.77 (44),94.57±2.76 (24),95.09±1.7 (45),94.59±2.06 (42),94.59±3.2 (17),94.56±3.26 (25),94.09±4.09 (26),93.59±2.81 (19),93.6±5.15 (42)
lung_discrete,87.71±11.23 (57),86.38±8.48 (55),90.38±6.08 (67),78.1±2.76 (7),87.71±5.54 (25),83.71±7.38 (23),90.38±3.85 (35),90.57±5.91 (37),89.14±5.81 (51),87.71±2.9 (50),90.38±3.85 (59),90.48±3.48 (40),87.71±9.87 (56),90.38±3.85 (51),89.14±7.7 (46),87.62±3.23 (48),87.71±2.9 (67),89.05±3.72 (49),85.05±5.36 (65),86.19±8.48 (22),63.14±9.57 (7),91.81±7.49 (42),86.19±5.24 (24),88.95±4.02 (28),92.95±7.15 (26),90.19±8.23 (29),90.48±3.48 (55),89.14±5.81 (61),89.05±3.72 (47),89.05±7.63 (29),90.38±3.85 (39),87.81±8.55 (34),90.29±8.07 (46),90.38±3.85 (47),90.38±3.85 (44),89.14±3.39 (45),89.14±5.81 (41)
lymphoma,85.47±5.49 (64),83.47±10.91 (60),95.89±4.22 (86),83.53±14.47 (11),89.68±9.57 (49),87.58±5.64 (36),91.74±6.86 (40),94.79±5.26 (35),93.79±2.12 (30),89.63±5.07 (50),90.74±6.42 (53),88.63±9.16 (71),90.63±13.1 (76),88.53±4.44 (67),93.79±5.67 (48),88.47±10.17 (46),88.63±9.16 (85),88.63±6.51 (83),86.53±10.08 (53),88.47±14.63 (74),82.42±10.43 (12),92.63±11.53 (33),88.58±10.05 (34),91.68±8.78 (46),92.68±8.0 (33),93.79±5.67 (55),92.74±8.76 (51),91.79±9.22 (73),90.79±10.93 (52),89.74±11.93 (63),89.68±10.27 (44),88.68±10.99 (28),88.68±13.28 (52),88.68±11.61 (28),88.63±9.16 (28),86.53±12.53 (48),87.63±12.88 (41)
madelon,63.81±1.46 (77),63.81±1.46 (77),63.92±1.36 (76),61.77±1.23 (2),62.04±1.53 (5),62.08±1.5 (4),62.19±1.64 (5),62.19±1.64 (5),62.19±1.64 (5),62.19±1.64 (5),62.08±1.38 (6),61.96±1.34 (3),62.08±1.53 (21),62.12±1.92 (7),61.92±1.6 (2),62.04±1.52 (23),61.96±1.56 (8),62.35±2.01 (26),62.08±1.55 (2),62.23±1.18 (26),61.92±1.6 (2),62.15±1.62 (4),62.15±1.62 (4),62.15±1.62 (4),62.15±1.62 (4),62.15±1.62 (4),62.15±1.62 (4),62.15±1.52 (3),62.15±1.52 (3),62.15±1.52 (3),62.15±1.52 (3),62.15±1.52 (3),62.15±1.52 (3),62.15±1.52 (3),62.15±1.52 (3),62.23±1.54 (6),62.15±1.52 (3)
nci9,75.0±8.33 (95),75.0±10.21 (84),80.0±18.26 (98),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2)
orlraws10P,91.0±4.18 (89),91.0±4.18 (88),99.0±2.24 (95),79.0±4.18 (23),95.0±3.54 (51),91.0±4.18 (28),99.0±2.24 (71),95.0±5.0 (33),98.0±2.74 (60),97.0±4.47 (60),98.0±2.74 (84),97.0±4.47 (68),98.0±2.74 (45),97.0±4.47 (79),98.0±4.47 (64),98.0±4.47 (63),97.0±2.74 (64),99.0±2.24 (94),99.0±2.24 (84),100.0±0.0 (62),82.0±5.7 (20),93.0±9.75 (58),87.0±8.37 (35),95.0±8.66 (77),94.0±5.48 (69),95.0±7.07 (81),93.0±7.58 (56),94.0±4.18 (80),93.0±4.47 (56),93.0±4.47 (84),94.0±6.52 (93),92.0±4.47 (70),92.0±5.7 (86),92.0±5.7 (93),93.0±2.74 (80),94.0±5.48 (79),91.0±7.42 (71)
pixraw10P,98.0±2.74 (94),98.0±2.74 (94),97.0±2.74 (44),42.0±2.74 (7),94.0±8.94 (29),89.0±6.52 (16),98.0±4.47 (37),95.0±5.0 (30),98.0±4.47 (33),98.0±2.74 (34),98.0±4.47 (31),99.0±2.24 (35),99.0±2.24 (17),99.0±2.24 (33),100.0±0.0 (60),100.0±0.0 (56),99.0±2.24 (41),99.0±2.24 (69),100.0±0.0 (64),99.0±2.24 (70),64.0±9.62 (6),88.0±7.58 (26),84.0±7.42 (19),92.0±5.7 (42),89.0±7.42 (25),92.0±2.74 (44),91.0±2.24 (41),92.0±2.74 (44),92.0±2.74 (41),92.0±4.47 (64),93.0±5.7 (65),93.0±4.47 (63),91.0±6.52 (52),91.0±8.22 (71),92.0±7.58 (61),90.0±7.07 (61),91.0±6.52 (54)
warpAR10P,91.54±6.88 (90),91.54±6.88 (90),94.62±7.98 (98),69.23±9.81 (11),91.54±10.32 (44),90.0±8.85 (27),93.08±10.32 (61),93.85±8.43 (41),93.08±5.7 (36),94.62±8.43 (45),93.08±9.58 (69),95.38±8.34 (71),93.85±11.73 (65),93.85±8.85 (62),94.62±6.44 (64),94.62±10.03 (73),95.38±5.01 (90),95.38±10.32 (71),95.38±8.34 (85),94.62±6.44 (44),65.38±10.53 (11),92.31±4.71 (36),91.54±5.7 (36),91.54±5.01 (40),92.31±4.71 (41),90.77±5.83 (51),91.54±5.7 (42),91.54±5.7 (66),90.77±6.44 (63),89.23±7.4 (58),90.77±8.85 (79),90.0±5.83 (85),90.0±6.44 (81),90.0±5.83 (65),90.0±6.44 (60),90.77±6.99 (77),90.77±5.83 (82)
warpPIE10P,98.57±3.19 (70),98.57±3.19 (69),99.05±2.13 (58),60.48±14.54 (4),98.57±3.19 (26),96.67±3.98 (19),98.57±3.19 (35),98.1±3.1 (37),99.05±2.13 (48),99.05±2.13 (41),99.52±1.06 (43),99.05±1.3 (34),99.52±1.06 (56),99.52±1.06 (51),99.52±1.06 (45),99.52±1.06 (43),99.52±1.06 (50),99.52±1.06 (62),99.52±1.06 (64),99.52±1.06 (55),65.71±12.89 (4),98.1±3.1 (34),94.29±4.64 (20),98.57±3.19 (44),97.62±4.12 (35),98.1±4.26 (49),98.57±3.19 (45),98.1±4.26 (55),98.1±4.26 (58),98.57±3.19 (59),99.05±2.13 (69),99.05±2.13 (75),98.57±2.13 (56),98.1±4.26 (56),99.05±2.13 (60),98.57±3.19 (74),99.05±2.13 (74)
